class_1,Collinsella,Butyricimonas,Weissella,Lachnospiraceae.UCG.004,Ruminococcaceae.UCG.004,UBA1819,Allisonella,Erysipelatoclostridium,Fusicatenibacter,Christensenellaceae.R.7.group
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,0,0,0,49.62406015,0,0,0,50.37593985,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,8.95522388,0,0,91.04477612,0,0,0,0,0,0
IRFL,0,0,15.38461539,0,0,0,0,0,25.27472527,59.34065934
IRNF,0,0,43.75,0,5,0,0,0,35,16.25
IRFL,0,4.411764706,0,30.39215687,0,0,5.882352944,0,59.31372548,0
IRFL,0,7.196969698,0,36.36363637,0,0,0,0,56.43939394,0
IRNF,0,22.72727273,0,24.62121212,0,4.924242424,0,0,11.74242424,35.98484849
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,8.661417328,7.611548555,0,0,0,0,11.54855643,0,26.77165354,45.40682414
IRFL,0,0,0,14.63414635,0,0,0,0,7.804878049,77.5609756
IRFL,0,0,0,40.71428572,0,0,0,0,59.28571428,0
IRFL,0,0,0,62.66375545,0,0,0,0,37.33624455,0
IRFL,0,0,0,97.57785467,0,0,0,2.422145329,0,0
IRFL,0,0,0,100,0,0,0,0,0,0
IRNF,0,5.249343833,0,17.32283464,0,0,0,0,0,77.42782152
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,27.52808989,0,0,37.64044943,0,0,34.83146067
IRNF,9.795918367,64.48979592,0,0,2.448979592,0,0,0,0,23.26530612
IRFL,0,0,0,0,100,0,0,0,0,0
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,0,65.93406594,0,0,5.494505495,13.73626373,0,14.83516483,0,0
IRNF,0,24.12451362,0,0,0,0,0,26.45914396,28.40466926,21.01167315
IRFL,0,14.52991453,0,0,0,0,9.401709401,0,59.82905983,16.23931623
IRFL,0,0,100,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,0,0,0,0,0,0,0,0,100,0
IRNF,0,0,0,0,1.886792453,0,0,0,0,98.11320755
IRFL,45.57823129,0,8.163265307,0,0,0,3.401360544,0,18.36734694,24.48979592
IRFL,0,0,0,0,0,0,0,0,0,100
IRNF,0,2.923976609,0,30.70175439,3.801169588,0,0,0,16.08187135,46.49122807
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,77.25072604,2.323330107,0,0,4.259438529,16.16650533,0
IRFL,0,0,61.8729097,0,0,0,0,0,38.1270903,0
IRFL,0,0,0,74.74747475,0,0,0,0,25.25252525,0
IRFL,0,0,71.42857143,28.57142857,0,0,0,0,0,0
IRNF,0,24.43609022,0,0,2.255639097,0,0,0,0,73.30827068
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,22.06572771,0,0,0,0,71.83098591,6.103286385
IRFL,38.98305085,0,0,0,0,0,0,0,44.06779661,16.94915255
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,0,59.88700565,0,0,0,0,16.38418079,0,23.72881356,0
IRFL,35.97359736,16.17161716,0,0,0,0,9.240924089,0,0,38.61386138
IRNF,18.26484018,17.80821918,0,25.11415525,0,0,0,0,15.06849315,23.74429224
IRFL,3.952569172,0,4.743083006,0,0,0,0,0,50.19762845,41.10671937
IRFL,9.279475982,1.200873362,0,51.52838428,2.401746725,0,35.58951965,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0.877192982,0,0,0,4.385964912,0,10.08771929,0,42.10526316,42.54385965
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,0,5.528846157,3.365384616,25.48076923,0,0,0,0,0,65.62499999
IRNF,0,0,0,0,0,0,100,0,0,0
IRFL,0,5.882352941,0,0,0,15.12605042,35.29411764,0,43.697479,0
IRFL,0,0,0,0,0,0,0,53.70370371,46.29629629,0
IRNF,40.74074074,0,0,59.25925926,0,0,0,0,0,0
IRNF,0,0,22.77227723,77.22772277,0,0,0,0,0,0
IRFL,0,0,0,56.5055762,0,0,0,0,43.4944238,0
IRFL,0,0,0,76.62337662,7.142857144,0,0,0,16.23376624,0
IRFL,0,10.52631579,0,89.47368421,0,0,0,0,0,0
IRFL,0,0,0,63.41463414,0,0,0,0,13.82113821,22.76422765
IRNF,0,37.89473684,0,0,0,0,0,0,62.10526316,0
IRFL,0,0,0,0,0,0,100,0,0,0
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,53.57142857,0,0,46.42857143,0,0,0,0,0,0
IRFL,0,14.72868217,0,0,0,0,0,0,41.08527132,44.18604652
IRFL,0,0,0,0,0,0,0,100,0,0
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,100,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,47.24770642,0,0,0,0,21.10091742,31.65137615
IRFL,0,0,0,85.10638298,0,0,14.89361702,0,0,0
IRNF,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,41.17647058,0,0,0,22.54901961,0,0,0,36.2745098
IRFL,0,0,100,0,0,0,0,0,0,0
